ZINC_ID,Binding Affinity (kcal/mol)
ZINC000000000023,-6.8
ZINC000000000023,-6.9
ZINC000000000023,-6.9
ZINC000000000023,-6.9
ZINC000000000023,-6.8
ZINC000000000038,-6.7
ZINC000000000038,-6.8
ZINC000000000038,-6.7
ZINC000000000038,-7.1
ZINC000000000038,-5.8
ZINC000000000038,-6.8
ZINC000000000053,-6.9
ZINC000000000053,-6.9
ZINC000000000061,-7.2
ZINC000000000061,-7.2
ZINC000000000061,-7.2
ZINC000000000083,-4.7
ZINC000000000083,-4.8
ZINC000000000083,-4.8
ZINC000000000095,-7.7
ZINC000000000095,-7.7
ZINC000000000095,-7.7
ZINC000000000095,-7.7
ZINC000000000096,-7.7
ZINC000000000096,-7.6
ZINC000000000096,-6.8
ZINC000000000096,-6.7
ZINC000000000106,-6.8
ZINC000000000106,-6.9
ZINC000000000106,-6.9
ZINC000000000106,-6.8
ZINC000000000106,-6.9
ZINC000000000106,-6.9
ZINC000000000106,-6.9
ZINC000000000122,-6.7
ZINC000000000122,-7.3
ZINC000000000122,-7.4
ZINC000000000122,-7.3
ZINC000000000122,-7.3
ZINC000000000122,-7.1
ZINC000000000122,-7.3
ZINC000000000128,-8.0
ZINC000000000128,-7.9
ZINC000000000128,-7.9
ZINC000000000128,-7.9
ZINC000000000133,-6.6
ZINC000000000133,-6.5
ZINC000000000135,-6.4
ZINC000000000135,-6.4
ZINC000000000135,-6.5
ZINC000000000135,-6.5
ZINC000000000188,-7.4
ZINC000000000188,-7.5
ZINC000000000188,-7.2
ZINC000000000188,-7.2
ZINC000000000188,-6.8
ZINC000000000189,-8.3
ZINC000000000189,-8.3
ZINC000000000189,-8.2
ZINC000000000189,-8.3
ZINC000000000189,-8.0
ZINC000000000196,-7.0
ZINC000000000196,-7.0
ZINC000000000196,-7.0
ZINC000000000196,-6.6
ZINC000000000196,-6.9
ZINC000000000196,-6.9
ZINC000000000196,-6.9
ZINC000000000196,-6.9
ZINC000000000196,-7.0
ZINC000000000196,-6.9
ZINC000000000196,-7.0
ZINC000000000196,-7.0
ZINC000000000196,-6.9
ZINC000000000196,-6.9
ZINC000000000196,-6.8
ZINC000000000199,-7.1
ZINC000000000199,-7.1
ZINC000000000199,-7.1
ZINC000000000199,-7.0
ZINC000000000199,-7.3
ZINC000000000199,-7.1
ZINC000000000215,-6.5
ZINC000000000215,-6.9
ZINC000000000215,-6.9
ZINC000000000215,
ZINC000000000242,-6.9
ZINC000000000242,-6.9
